,Nation,Olympic,Gold,Silver,Bronze,event_count,date,label,GDP
2292,Canada,calgary-1988,0,2,3,10,1988,summer,507354351182.25397
714,Palau,london-2012,0,0,0,3,2012,summer,215095100.0
713,Kuwait,london-2012,0,0,1,4,2012,summer,174070025008.932
712,Malawi,london-2012,0,0,0,2,2012,summer,6028470988.53624
711,Malta,london-2012,0,0,0,2,2012,summer,9203729739.42371
2299,Japan,calgary-1988,0,0,1,9,1988,summer,3050637784817.52
2301,Bulgaria,calgary-1988,0,0,0,6,1988,summer,22555941176.4706
2302,Spain,calgary-1988,0,0,0,5,1988,summer,375138723325.239
2303,Great Britain,calgary-1988,0,0,0,8,1988,summer,910122732123.7991
2328,Guatemala,calgary-1988,0,0,0,2,1988,summer,7841602824.42748
2330,Costa Rica,calgary-1988,0,0,0,2,1988,summer,6063759370.629371
2331,Puerto Rico,calgary-1988,0,0,0,4,1988,summer,26178400000.0
695,Mauritius,london-2012,0,0,0,6,2012,summer,11668685524.1265
694,Cyprus,london-2012,0,1,0,7,2012,summer,25041372221.5084
2357,Argentina,los-angeles-1984,0,0,0,14,1984,summer,79092001998.032
2360,Panama,los-angeles-1984,0,0,0,4,1984,summer,6183387100.0
692,Qatar,london-2012,0,0,2,4,2012,summer,186833516483.51602
691,El Salvador,london-2012,0,0,0,7,2012,summer,23813600000.0
2363,Kuwait,los-angeles-1984,0,0,0,3,1984,summer,21697297872.3404
2367,Greece,los-angeles-1984,0,1,1,11,1984,summer,48020024788.3918
2370,Monaco,los-angeles-1984,0,0,0,5,1984,summer,1037314956.25083
689,Angola,london-2012,0,0,0,6,2012,summer,115398371427.673
2372,Turkey,los-angeles-1984,0,0,3,10,1984,summer,59989909457.8379
2373,Puerto Rico,los-angeles-1984,0,1,1,14,1984,summer,19162600000.0
696,Seychelles,london-2012,0,0,0,3,2012,summer,1134267367.19206
697,Nicaragua,london-2012,0,0,0,3,2012,summer,10532001129.67
698,Albania,london-2012,0,0,0,4,2012,summer,12319784787.2987
2340,India,calgary-1988,0,0,0,1,1988,summer,292632656261.44104
2332,Fiji,calgary-1988,0,0,0,1,1988,summer,1109976927.9172199
2334,Philippines,calgary-1988,0,0,0,1,1988,summer,37885440418.6834
2335,Lebanon,calgary-1988,0,0,0,1,1988,summer,3313540067.9324603
2336,Chile,calgary-1988,0,0,0,1,1988,summer,26040229793.0697
2337,Andorra,calgary-1988,0,0,0,1,1988,summer,721425939.15155
2338,Cyprus,calgary-1988,0,0,0,1,1988,summer,4278792597.23965
2339,Luxembourg,calgary-1988,0,0,0,1,1988,summer,9750161053.209
2341,Bolivia,calgary-1988,0,0,0,1,1988,summer,4597615562.66594
2350,Israel,los-angeles-1984,0,0,0,9,1984,summer,29148462482.9468
2342,Morocco,calgary-1988,0,0,0,1,1988,summer,25705296183.5037
706,Liechtenstein,london-2012,0,0,0,3,2012,summer,5456009384.66461
705,Chile,london-2012,0,0,0,18,2012,summer,267122320056.702
703,Puerto Rico,london-2012,0,1,1,8,2012,summer,101080738000.0
702,Philippines,london-2012,0,0,0,7,2012,summer,250092093547.53198
701,Peru,london-2012,0,0,0,9,2012,summer,192648999090.082
700,Costa Rica,london-2012,0,0,0,7,2012,summer,46473128285.5589
2214,Mauritius,seoul-1988,0,0,0,5,1988,summer,2143484487.6727397
2218,Antigua and Barbuda,seoul-1988,0,0,0,4,1988,summer,398637740.740741
2219,Bermuda,seoul-1988,0,0,0,6,1988,summer,1415100032.0
2220,Liberia,seoul-1988,0,0,0,2,1988,summer,1038300000.0
2221,Togo,seoul-1988,0,0,0,2,1988,summer,1378847487.41137
2222,Sudan,seoul-1988,0,0,0,2,1988,summer,15399166666.6667
2225,Guatemala,seoul-1988,0,0,0,8,1988,summer,7841602824.42748
2226,Grenada,seoul-1988,0,0,0,2,1988,summer,236357518.51851898
2227,Cyprus,seoul-1988,0,0,0,4,1988,summer,4278792597.23965
2228,Bahrain,seoul-1988,0,0,0,2,1988,summer,3702393617.02128
2230,Kuwait,seoul-1988,0,0,0,4,1988,summer,20692472759.8566
2232,Lebanon,seoul-1988,0,0,0,7,1988,summer,3313540067.9324603
2233,Paraguay,seoul-1988,0,0,0,4,1988,summer,4082625952.7381
2234,Indonesia,seoul-1988,0,1,0,10,1988,summer,89756617173.8387
2213,Honduras,seoul-1988,0,0,0,3,1988,summer,3970386266.0944204
2280,Bangladesh,seoul-1988,0,0,0,1,1988,summer,26579005760.315
2212,Ecuador,seoul-1988,0,0,0,5,1988,summer,13051886552.3377
2194,Angola,seoul-1988,0,0,0,4,1988,summer,6684491978.60963
2196,Rwanda,seoul-1988,0,0,0,1,1988,summer,2395493877.51365
2197,Belize,seoul-1988,0,0,0,2,1988,summer,314900000.0
2199,Malawi,seoul-1988,0,0,0,3,1988,summer,1379923808.24718
2202,Sierra Leone,seoul-1988,0,0,0,4,1988,summer,1055083945.3773801
2203,Guinea,seoul-1988,0,0,0,3,1988,summer,2384295763.7254896
2204,Vietnam,seoul-1988,0,0,0,6,1988,summer,25423812648.5941
721,Niger,london-2012,0,0,0,4,2012,summer,6942209594.55433
2206,Chile,seoul-1988,0,1,0,5,1988,summer,26040229793.0697
2207,Solomon Islands,seoul-1988,0,0,0,4,1988,summer,310684273.709484
2208,Maldives,seoul-1988,0,0,0,1,1988,summer,168610478.359909
720,Burundi,london-2012,0,0,0,3,2012,summer,2472384906.99793
719,Maldives,london-2012,0,0,0,2,2012,summer,2886170570.48769
2211,El Salvador,seoul-1988,0,0,0,4,1988,summer,4189880000.0
2235,Jordan,seoul-1988,0,0,0,5,1988,summer,6277197435.2124
2236,Monaco,seoul-1988,0,0,0,6,1988,summer,2000674667.0826101
2237,Philippines,seoul-1988,0,0,1,10,1988,summer,37885440418.6834
2238,Greece,seoul-1988,0,0,1,9,1988,summer,76261278404.9964
2261,Samoa,seoul-1988,0,0,0,3,1988,summer,133016065.41606499
2263,Syrian Arab Republic,seoul-1988,0,0,0,3,1988,summer,10577042354.799
2264,Peru,seoul-1988,0,1,0,6,1988,summer,15439408447.2288
2266,Iceland,seoul-1988,0,0,0,4,1988,summer,6156487920.21202
2267,Mali,seoul-1988,0,0,0,2,1988,summer,2169040741.55896
2268,Benin,seoul-1988,0,0,0,1,1988,summer,1620246187.15171
2269,Ghana,seoul-1988,0,0,0,2,1988,summer,5197840972.6857
2271,Thailand,seoul-1988,0,0,1,3,1988,summer,61667199834.7428
2272,Mozambique,seoul-1988,0,0,0,2,1988,summer,2093571673.6561198
2273,Gabon,seoul-1988,0,0,0,1,1988,summer,3834503378.35525
2274,Burkina Faso,seoul-1988,0,0,0,1,1988,summer,2616040645.87263
2275,Tonga,seoul-1988,0,0,0,1,1988,summer,106657267.36734201
2277,Vanuatu,seoul-1988,0,0,0,1,1988,summer,148545381.418421
2278,Singapore,seoul-1988,0,0,0,3,1988,summer,25337226970.5603
2260,Panama,seoul-1988,0,0,0,3,1988,summer,5902783400.0
2259,Cameroon,seoul-1988,0,0,0,3,1988,summer,12493286761.7341
2258,Dominican Republic,seoul-1988,0,0,0,4,1988,summer,5374315190.18405
718,Mali,london-2012,0,0,0,4,2012,summer,12442747897.2223
2239,Uruguay,seoul-1988,0,0,0,8,1988,summer,8213515458.511391
2240,Puerto Rico,seoul-1988,0,0,0,10,1988,summer,26178400000.0
2241,Zambia,seoul-1988,0,0,0,2,1988,summer,3713614457.83133
2242,Tunisia,seoul-1988,0,0,0,5,1988,summer,10096292842.1543
2243,Iraq,seoul-1988,0,0,0,4,1988,summer,62503055644.9019
2244,United Arab Emirates,seoul-1988,0,0,0,2,1988,summer,36275674203.2144
2245,Andorra,seoul-1988,0,0,0,1,1988,summer,721425939.15155
2246,Liechtenstein,seoul-1988,0,0,0,5,1988,summer,1161757671.01756
2248,Malaysia,seoul-1988,0,0,0,5,1988,summer,35271880250.4964
2257,Malta,seoul-1988,0,0,0,4,1988,summer,2019474244.19359
2249,Guyana,seoul-1988,0,0,0,2,1988,summer,413799990.0
2252,Israel,seoul-1988,0,0,0,6,1988,summer,50078767902.9333
2254,Bhutan,seoul-1988,0,0,0,1,1988,summer,283855833.333333
2255,Saudi Arabia,seoul-1988,0,0,0,2,1988,summer,88256074766.3551
2256,Mongolia,seoul-1988,0,0,1,5,1988,summer,3204461566.66667
2374,Saudi Arabia,los-angeles-1984,0,0,0,5,1984,summer,119624858115.77802
2376,Bolivia,los-angeles-1984,0,0,0,6,1984,summer,6169481549.374821
2495,Australia,sarajevo-1984,0,0,0,5,1984,summer,193503894222.061
2496,People's Republic of China,sarajevo-1984,0,0,0,5,1984,summer,259946510957.143
2497,Argentina,sarajevo-1984,0,0,0,3,1984,summer,79092001998.032
2498,Spain,sarajevo-1984,0,0,0,5,1984,summer,171635463361.62302
2501,Costa Rica,sarajevo-1984,0,0,0,3,1984,summer,4593908718.761721
2502,Liechtenstein,sarajevo-1984,0,0,2,3,1984,summer,502617355.407073
2503,Puerto Rico,sarajevo-1984,0,0,0,1,1984,summer,19162600000.0
2505,New Zealand,sarajevo-1984,0,0,0,1,1984,summer,21665456808.0473
2506,Belgium,sarajevo-1984,0,0,0,2,1984,summer,83795680815.4147
2508,Iceland,sarajevo-1984,0,0,0,2,1984,summer,2887825523.68452
2509,Cyprus,sarajevo-1984,0,0,0,1,1984,summer,2278248953.14058
2510,Bolivia,sarajevo-1984,0,0,0,1,1984,summer,6169481549.374821
2491,Japan,sarajevo-1984,0,1,0,9,1984,summer,1309740021609.74
2489,Austria,sarajevo-1984,0,0,1,9,1984,summer,67985345161.9558
2377,Norway,los-angeles-1984,0,1,2,17,1984,summer,62057955032.7758
671,Burkina Faso,london-2012,0,0,0,2,2012,summer,11166063466.5623
2469,Seychelles,los-angeles-1984,0,0,0,1,1984,summer,151313241.983564
2470,Tonga,los-angeles-1984,0,0,0,1,1984,summer,64248354.5414656
2471,Benin,los-angeles-1984,0,0,0,1,1984,summer,1051133927.00009
2472,Niger,los-angeles-1984,0,0,0,1,1984,summer,1461243326.83775
2473,Grenada,los-angeles-1984,0,0,0,1,1984,summer,145533296.296296
2474,Togo,los-angeles-1984,0,0,0,1,1984,summer,718148959.610872
2476,Bhutan,los-angeles-1984,0,0,0,1,1984,summer,169264991.197183
679,Sudan,london-2012,0,0,0,2,2012,summer,68125631150.2939
678,Djibouti,london-2012,0,0,0,4,2012,summer,1353632941.5207
677,Cambodia,london-2012,0,0,0,3,2012,summer,14038383450.186
2480,France,sarajevo-1984,0,1,2,7,1984,summer,532648802822.187
676,Nepal,london-2012,0,0,0,2,2012,summer,18851513891.066
675,Marshall Islands,london-2012,0,0,0,1,2012,summer,185210500.0
2485,Bulgaria,sarajevo-1984,0,0,0,5,1984,summer,17594944444.4444
2511,Chile,sarajevo-1984,0,0,0,1,1984,summer,19622527479.6913
2512,Mexico,sarajevo-1984,0,0,0,1,1984,summer,175632157330.155
2513,Greece,sarajevo-1984,0,0,0,2,1984,summer,48020024788.3918
2514,Turkey,sarajevo-1984,0,0,0,2,1984,summer,59989909457.8379
658,Barbados,london-2012,0,0,0,3,2012,summer,4656350000.0
2540,Syrian Arab Republic,moscow-1980,0,0,0,7,1980,summer,13062421024.9337
657,Indonesia,london-2012,0,2,1,8,2012,summer,917869910105.749
654,Lebanon,london-2012,0,0,0,6,2012,summer,43868565281.7247
2544,Iceland,moscow-1980,0,0,0,3,1980,summer,3409023699.34967
653,Suriname,london-2012,0,0,0,2,2012,summer,4980000000.0
652,United Arab Emirates,london-2012,0,0,0,5,2012,summer,374817974104.83295
651,Tonga,london-2012,0,0,0,2,2012,summer,472358251.22426105
2549,Mexico,moscow-1980,0,1,3,13,1980,summer,194356826086.957
2552,Nigeria,moscow-1980,0,0,0,5,1980,summer,64201788122.6054
649,Senegal,london-2012,0,0,0,8,2012,summer,14225310518.7856
2554,Iraq,moscow-1980,0,0,0,5,1980,summer,53405689129.6986
2555,Nepal,moscow-1980,0,0,0,3,1980,summer,1945916583.3333302
647,Panama,london-2012,0,0,0,5,2012,summer,39954761200.0
2537,Kuwait,moscow-1980,0,0,0,6,1980,summer,28638550499.4451
2535,Algeria,moscow-1980,0,0,0,9,1980,summer,42345277342.0195
660,Sri Lanka,london-2012,0,0,0,4,2012,summer,68434399083.41
2515,Senegal,sarajevo-1984,0,0,0,1,1984,summer,2705535756.06004
2517,Morocco,sarajevo-1984,0,0,0,1,1984,summer,14824728528.4604
2520,Andorra,sarajevo-1984,0,0,0,1,1984,summer,330070689.29828197
2521,Monaco,sarajevo-1984,0,0,0,1,1984,summer,1037314956.25083
2522,Netherlands,sarajevo-1984,0,0,0,2,1984,summer,142075910370.879
661,Zambia,london-2012,0,0,0,3,2012,summer,25503370699.2015
2525,Mongolia,sarajevo-1984,0,0,0,1,1984,summer,2098734600.0
668,Bangladesh,london-2012,0,0,0,3,2012,summer,133355749482.47801
667,Mozambique,london-2012,0,0,0,3,2012,summer,14534278446.3087
666,Jordan,london-2012,0,0,0,5,2012,summer,30937277605.6338
665,Swaziland,london-2012,0,0,0,1,2012,summer,4823831656.516439
662,Bermuda,london-2012,0,0,0,5,2012,summer,5537537000.0
2468,Mauritania,los-angeles-1984,0,0,0,1,1984,summer,726937320.846135
2467,Andorra,los-angeles-1984,0,0,0,1,1984,summer,330070689.29828197
2420,Oman,los-angeles-1984,0,0,0,3,1984,summer,8821366531.557621
2401,Mozambique,los-angeles-1984,0,0,0,1,1984,summer,3376172169.81132
2402,Trinidad and Tobago,los-angeles-1984,0,0,0,5,1984,summer,7757083333.33333
2403,Iceland,los-angeles-1984,0,0,1,5,1984,summer,2887825523.68452
2404,Singapore,los-angeles-1984,0,0,0,2,1984,summer,19735920492.1912
2406,Indonesia,los-angeles-1984,0,0,0,5,1984,summer,90345970377.6713
2407,Suriname,los-angeles-1984,0,0,0,2,1984,summer,864150000.0
2408,Bahrain,los-angeles-1984,0,0,0,3,1984,summer,3905585106.38298
2409,Swaziland,los-angeles-1984,0,0,0,4,1984,summer,494475699.85765594
2410,Uganda,los-angeles-1984,0,0,0,5,1984,summer,3615647477.05434
2411,Uruguay,los-angeles-1984,0,0,0,5,1984,summer,4850241442.17643
2412,El Salvador,los-angeles-1984,0,0,0,5,1984,summer,3661683400.0
2413,Malaysia,los-angeles-1984,0,0,0,4,1984,summer,33943505717.6993
2414,Sri Lanka,los-angeles-1984,0,0,0,3,1984,summer,6043474842.76729
2415,Malta,los-angeles-1984,0,0,0,4,1984,summer,1101828568.76804
2416,Thailand,los-angeles-1984,0,1,0,4,1984,summer,41797592963.4424
2417,Antigua and Barbuda,los-angeles-1984,0,0,0,2,1984,summer,208372851.851852
2418,Senegal,los-angeles-1984,0,0,0,5,1984,summer,2705535756.06004
2398,Honduras,los-angeles-1984,0,0,0,3,1984,summer,3319000000.0
2397,Fiji,los-angeles-1984,0,0,0,5,1984,summer,1177997413.63384
2386,Chile,los-angeles-1984,0,0,0,9,1984,summer,19622527479.6913
2378,Jordan,los-angeles-1984,0,0,0,3,1984,summer,4966710013.0039
2379,Switzerland,los-angeles-1984,0,4,4,20,1984,summer,106285277141.763
688,Ecuador,london-2012,0,0,0,13,2012,summer,87924544000.0
2381,Ireland,los-angeles-1984,0,1,0,10,1984,summer,20130728273.8603
2382,Bermuda,los-angeles-1984,0,0,0,4,1984,summer,985699968.0
2383,Peru,los-angeles-1984,0,1,0,10,1984,summer,17599660054.286
687,Benin,london-2012,0,0,0,4,2012,summer,8152554487.31321
2385,Tunisia,los-angeles-1984,0,0,0,6,1984,summer,8254891864.057671
2387,Guatemala,los-angeles-1984,0,0,0,8,1984,summer,9470000100.0
2389,Denmark,los-angeles-1984,0,3,3,12,1984,summer,59105208272.9853
684,Central African Republic,london-2012,0,0,0,3,2012,summer,2184183758.31567
683,Cameroon,london-2012,0,0,1,9,2012,summer,29104437355.0395
2392,Jamaica,los-angeles-1984,0,1,2,6,1984,summer,2373566957.49214
2393,Colombia,los-angeles-1984,0,1,0,9,1984,summer,38253120737.9671
2394,Costa Rica,los-angeles-1984,0,0,0,5,1984,summer,4593908718.761721
2395,Philippines,los-angeles-1984,0,0,0,6,1984,summer,31408492876.691
2419,Dominican Republic,los-angeles-1984,0,0,1,6,1984,summer,10330399700.0
2465,Mauritius,los-angeles-1984,0,0,0,1,1984,summer,1044928624.7400401
2423,Zimbabwe,los-angeles-1984,0,0,0,5,1984,summer,6352125900.0
2446,Nepal,los-angeles-1984,0,0,0,3,1984,summer,2581207387.79709
2447,Algeria,los-angeles-1984,0,0,2,4,1984,summer,53698278905.9678
2448,Solomon Islands,los-angeles-1984,0,0,0,2,1984,summer,252806783.386983
2449,Iraq,los-angeles-1984,0,0,0,4,1984,summer,46802508845.2879
2450,Qatar,los-angeles-1984,0,0,0,3,1984,summer,6704395824.17583
2452,Ghana,los-angeles-1984,0,0,0,2,1984,summer,4412279865.40315
2453,Gabon,los-angeles-1984,0,0,0,2,1984,summer,3561451562.2356896
2455,Lesotho,los-angeles-1984,0,0,0,2,1984,summer,333158476.24212
2457,Luxembourg,los-angeles-1984,0,0,0,3,1984,summer,4594891580.56409
2458,Papua New Guinea,los-angeles-1984,0,0,0,2,1984,summer,2552526263.0759
2459,Central African Republic,los-angeles-1984,0,0,0,2,1984,summer,637820620.670195
2460,Madagascar,los-angeles-1984,0,0,0,2,1984,summer,2939485471.50097
2461,Liberia,los-angeles-1984,0,0,0,1,1984,summer,848478300.0
2463,Sudan,los-angeles-1984,0,0,0,2,1984,summer,9701357142.857141
2464,Sierra Leone,los-angeles-1984,0,0,0,2,1984,summer,1087471861.98928
2445,Syrian Arab Republic,los-angeles-1984,0,1,0,4,1984,summer,17503082982.2832
2443,Nigeria,los-angeles-1984,0,1,1,4,1984,summer,28500815241.471
2424,Botswana,los-angeles-1984,0,0,0,2,1984,summer,1240796364.75662
2425,India,los-angeles-1984,0,0,0,7,1984,summer,209328156804.186
2427,Ecuador,los-angeles-1984,0,0,0,6,1984,summer,16912515183.2783
681,Rwanda,london-2012,0,0,0,4,2012,summer,7315702176.36442
2429,Zambia,los-angeles-1984,0,0,1,2,1984,summer,2739444444.44445
2430,Cameroon,los-angeles-1984,0,0,1,6,1984,summer,7801858825.184159
2433,Cyprus,los-angeles-1984,0,0,0,4,1984,summer,2278248953.14058
2442,Samoa,los-angeles-1984,0,0,0,2,1984,summer,109200934.328518
2434,Mali,los-angeles-1984,0,0,0,2,1984,summer,1232932008.13719
2436,Paraguay,los-angeles-1984,0,0,0,4,1984,summer,4067222369.3065205
2437,Liechtenstein,los-angeles-1984,0,0,0,3,1984,summer,502617355.407073
2438,Belize,los-angeles-1984,0,0,0,2,1984,summer,210900000.0
2439,Guyana,los-angeles-1984,0,0,0,2,1984,summer,437631605.263158
2440,Malawi,los-angeles-1984,0,0,0,3,1984,summer,1208026079.75492
680,American Samoa,london-2012,0,0,0,3,2012,summer,644000000.0
2192,Zimbabwe,seoul-1988,0,0,0,11,1988,summer,7814784100.0
2191,Bolivia,seoul-1988,0,0,0,6,1988,summer,4597615562.66594
2190,Sri Lanka,seoul-1988,0,0,0,3,1988,summer,6978371581.26375
1941,Syrian Arab Republic,barcelona-1992,0,0,0,4,1992,summer,13253565898.9558
1942,Panama,barcelona-1992,0,0,0,3,1992,summer,8042337700.0
1943,Dominican Republic,barcelona-1992,0,0,0,5,1992,summer,11277676879.9612
1944,Pakistan,barcelona-1992,0,0,1,4,1992,summer,48635176852.7673
1946,Portugal,barcelona-1992,0,0,0,15,1992,summer,107602689040.68901
1947,Israel,barcelona-1992,0,1,1,9,1992,summer,75575902931.967
1951,Argentina,barcelona-1992,0,0,1,16,1992,summer,228788617201.696
1953,Belgium,barcelona-1992,0,1,2,17,1992,summer,236038384441.656
1954,Guatemala,barcelona-1992,0,0,0,7,1992,summer,10440842165.3193
1956,Mexico,barcelona-1992,0,1,0,17,1992,summer,363609256195.677
1958,Nicaragua,barcelona-1992,0,0,0,6,1992,summer,1792800000.0
1937,India,barcelona-1992,0,0,0,11,1992,summer,284363884079.92
1915,Mongolia,barcelona-1992,0,0,2,8,1992,summer,1317611863.8497698
1917,South Africa,barcelona-1992,0,2,0,20,1992,summer,134545231416.55
1918,Colombia,barcelona-1992,0,0,1,12,1992,summer,49279585355.0948
1919,Cyprus,barcelona-1992,0,0,0,6,1992,summer,6912150456.323339
1923,Austria,barcelona-1992,0,2,0,19,1992,summer,195078126346.10602
1928,Tunisia,barcelona-1992,0,0,0,7,1992,summer,15497286295.7938
1931,Nigeria,barcelona-1992,0,3,1,8,1992,summer,29300903643.0584
1964,Bhutan,barcelona-1992,0,0,0,1,1992,summer,250794359.567901
1988,Swaziland,barcelona-1992,0,0,0,2,1992,summer,1284766234.2216
1989,Ecuador,barcelona-1992,0,0,0,7,1992,summer,18094238119.0595
1990,Cameroon,barcelona-1992,0,0,0,3,1992,summer,11396310990.2197
1992,Philippines,barcelona-1992,0,0,1,9,1992,summer,52976344928.9564
1994,Uruguay,barcelona-1992,0,0,0,10,1992,summer,12878157305.7481
1995,Bolivia,barcelona-1992,0,0,0,6,1992,summer,5643893347.00679
1996,Zimbabwe,barcelona-1992,0,0,0,5,1992,summer,6751472200.0
1997,Rwanda,barcelona-1992,0,0,0,2,1992,summer,2029026704.0270698
1998,Chile,barcelona-1992,0,0,0,7,1992,summer,45964327558.8836
1999,Malawi,barcelona-1992,0,0,0,1,1992,summer,1799529357.0981
2000,Niger,barcelona-1992,0,0,0,1,1992,summer,2344987614.2744102
2001,Liechtenstein,barcelona-1992,0,0,0,5,1992,summer,1631197909.2589998
2002,Namibia,barcelona-1992,0,2,0,3,1992,summer,3448326858.34502
2003,Nepal,barcelona-1992,0,0,0,2,1992,summer,3401211581.29176
2005,Libya,barcelona-1992,0,0,0,4,1992,summer,33881392045.4545
1986,Lesotho,barcelona-1992,0,0,0,1,1992,summer,831033941.093969
1985,Djibouti,barcelona-1992,0,0,0,3,1992,summer,478058304.87111795
765,Belize,london-2012,0,0,0,1,2012,summer,1573618750.0
1973,Mauritius,barcelona-1992,0,0,0,3,1992,summer,3224267547.80508
1968,Luxembourg,barcelona-1992,0,0,0,4,1992,summer,16065740777.9172
1969,Costa Rica,barcelona-1992,0,0,0,6,1992,summer,8528593084.487491
1970,Angola,barcelona-1992,0,0,0,6,1992,summer,5684291718.77106
1971,Peru,barcelona-1992,0,1,0,8,1992,summer,36139225287.9079
1972,Thailand,barcelona-1992,0,0,1,8,1992,summer,111452869378.467
1974,Malaysia,barcelona-1992,0,0,1,6,1992,summer,59167157497.9385
1975,Iceland,barcelona-1992,0,0,0,6,1992,summer,7138787995.321991
1976,Singapore,barcelona-1992,0,0,0,6,1992,summer,52156414978.5144
1977,Sri Lanka,barcelona-1992,0,0,0,5,1992,summer,9703011635.86585
1978,Jamaica,barcelona-1992,0,3,1,6,1992,summer,3530892749.0213103
1979,United Arab Emirates,barcelona-1992,0,0,0,3,1992,summer,54239171887.769005
1982,Bermuda,barcelona-1992,0,0,0,5,1992,summer,1679900032.0
1912,Senegal,barcelona-1992,0,0,0,4,1992,summer,6004885321.34354
1832,Guyana,atlanta-1996,0,0,0,1,1996,summer,705406001.424501
1824,Jordan,atlanta-1996,0,0,0,2,1996,summer,6928359238.36389
1825,Bangladesh,atlanta-1996,0,0,0,2,1996,summer,46438482370.3942
1826,Dominica,atlanta-1996,0,0,0,1,1996,summer,236444444.444444
1827,Maldives,atlanta-1996,0,0,0,1,1996,summer,450382327.952421
1829,Sri Lanka,atlanta-1996,0,0,0,2,1996,summer,13897738375.2488
1830,Burkina Faso,atlanta-1996,0,0,0,1,1996,summer,2586550747.0984397
1831,Guinea,atlanta-1996,0,0,0,1,1996,summer,3869032270.91633
1909,Puerto Rico,barcelona-1992,0,0,1,11,1992,summer,34630430000.0
2006,Haiti,barcelona-1992,0,0,0,2,1992,summer,2257129873.66261
2189,Uganda,seoul-1988,0,0,0,3,1988,summer,6508931651.66667
2123,Luxembourg,albertville-1992,0,2,0,1,1992,summer,16065740777.9172
2124,Chile,albertville-1992,0,0,0,1,1992,summer,45964327558.8836
2125,Monaco,albertville-1992,0,0,0,1,1992,summer,2737066955.91266
2126,Ireland,albertville-1992,0,0,0,1,1992,summer,55985505158.7833
2127,Jamaica,albertville-1992,0,0,0,1,1992,summer,3530892749.0213103
2129,Belgium,albertville-1992,0,0,0,1,1992,summer,236038384441.656
750,Myanmar,london-2012,0,0,0,5,2012,summer,59937797559.3295
749,Oman,london-2012,0,0,0,2,2012,summer,76689583355.0065
747,Haiti,london-2012,0,0,0,2,2012,summer,7890216507.68913
2134,Switzerland,seoul-1988,0,2,2,17,1988,summer,209298156700.608
745,Botswana,london-2012,0,1,0,2,2012,summer,14686278707.4589
2137,Mexico,seoul-1988,0,0,2,16,1988,summer,183144268180.018
743,Montenegro,london-2012,0,1,0,7,2012,summer,4087724527.81704
742,Gabon,london-2012,0,1,0,4,2012,summer,17171446922.2104
741,Namibia,london-2012,0,0,0,6,2012,summer,13016272898.9038
2122,Algeria,albertville-1992,0,0,0,1,1992,summer,48003298223.1178
2120,Swaziland,albertville-1992,0,0,0,1,1992,summer,1284766234.2216
2009,Bahrain,barcelona-1992,0,0,0,2,1992,summer,4751063829.78723
2119,New Zealand,albertville-1992,0,1,0,2,1992,summer,41649298170.9911
2100,Hungary,albertville-1992,0,0,0,6,1992,summer,38724945367.8583
2101,Argentina,albertville-1992,0,0,0,5,1992,summer,228788617201.696
2102,Mexico,albertville-1992,0,0,0,3,1992,summer,363609256195.677
2103,Morocco,albertville-1992,0,0,0,2,1992,summer,33711069430.78
2105,Honduras,albertville-1992,0,0,0,1,1992,summer,3419487440.65916
2107,Puerto Rico,albertville-1992,0,0,0,2,1992,summer,34630430000.0
2109,Bermuda,albertville-1992,0,0,0,1,1992,summer,1679900032.0
2110,Andorra,albertville-1992,0,0,0,1,1992,summer,1210013651.87713
2111,Cyprus,albertville-1992,0,0,0,1,1992,summer,6912150456.323339
2112,Brazil,albertville-1992,0,0,0,1,1992,summer,400599250000.0
2113,Philippines,albertville-1992,0,0,0,1,1992,summer,52976344928.9564
2114,Bolivia,albertville-1992,0,0,0,1,1992,summer,5643893347.00679
2115,Lebanon,albertville-1992,0,0,0,1,1992,summer,5545921947.46583
2116,India,albertville-1992,0,0,0,1,1992,summer,284363884079.92
2117,Costa Rica,albertville-1992,0,0,0,1,1992,summer,8528593084.487491
2118,Senegal,albertville-1992,0,0,0,1,1992,summer,6004885321.34354
740,Nigeria,london-2012,0,0,0,8,2012,summer,460953836444.364
739,Saudi Arabia,london-2012,0,0,1,5,2012,summer,735974843360.0
2145,Sweden,seoul-1988,0,4,7,22,1988,summer,204068257817.6
2170,Djibouti,seoul-1988,0,0,1,2,1988,summer,395794538.630775
725,India,london-2012,0,2,4,13,2012,summer,1827637859135.7
724,Turkmenistan,london-2012,0,0,0,4,2012,summer,35164210526.3158
2175,Ireland,seoul-1988,0,0,0,12,1988,summer,37818133413.3173
723,Lesotho,london-2012,0,0,0,2,2012,summer,2678494689.40317
722,Togo,london-2012,0,0,0,5,2012,summer,3866617462.61854
2178,Botswana,seoul-1988,0,0,0,2,1988,summer,2644536804.1124396
2179,Algeria,seoul-1988,0,0,0,7,1988,summer,59089067187.3943
2180,Luxembourg,seoul-1988,0,0,0,4,1988,summer,9750161053.209
2181,Colombia,seoul-1988,0,0,1,11,1988,summer,39212550050.4223
2182,Costa Rica,seoul-1988,0,1,0,6,1988,summer,6063759370.629371
2183,Central African Republic,seoul-1988,0,0,0,3,1988,summer,1264899368.20165
2184,Swaziland,seoul-1988,0,0,0,4,1988,summer,692016714.317132
2185,Niger,seoul-1988,0,0,0,2,1988,summer,2280356194.14559
2187,Nepal,seoul-1988,0,0,0,5,1988,summer,3487009748.35638
