Nation,Olympic,Gold,Silver,Bronze,event_count
Greece,rome-1960,1,0,0,6
Japan,rome-1960,4,7,7,17
Venezuela,rome-1960,0,0,1,7
San Marino,rome-1960,0,0,0,3
South Africa,rome-1960,0,1,2,11
Luxembourg,rome-1960,0,0,0,9
Philippines,rome-1960,0,0,0,6
Finland,rome-1960,1,1,3,15
Malta,rome-1960,0,0,0,3
Republic of Korea,rome-1960,0,0,0,9
Rhodesia,rome-1960,0,0,0,4
Monaco,rome-1960,0,0,0,2
Puerto Rico,rome-1960,0,0,0,5
Malaya,rome-1960,0,0,0,3
Sudan,rome-1960,0,0,0,3
Pakistan,rome-1960,1,0,1,7
"Hong Kong, China",rome-1960,0,0,0,1
Kenya,rome-1960,0,0,0,4
Belgium,rome-1960,0,2,2,15
Mexico,rome-1960,0,0,1,13
Islamic Republic of Iran,rome-1960,0,1,3,5
Thailand,rome-1960,0,0,0,4
Morocco,rome-1960,0,1,0,9
West Indies Federation,rome-1960,0,0,2,6
Israel,rome-1960,0,0,0,5
Uruguay,rome-1960,0,0,0,6
New Zealand,rome-1960,2,0,1,8
Ghana,rome-1960,0,1,0,2
Indonesia,rome-1960,0,0,0,6
Afghanistan,rome-1960,0,0,0,2
Cuba,rome-1960,0,0,0,6
Nigeria,rome-1960,0,0,0,2
Ethiopia,rome-1960,1,0,0,2
Myanmar,rome-1960,0,0,0,4
Netherlands,rome-1960,0,1,2,14
Sri Lanka,rome-1960,0,0,0,3
Liberia,rome-1960,0,0,0,1
Zimbabwe,rome-1960,0,0,0,1
Panama,rome-1960,0,0,0,3
Iceland,rome-1960,0,0,0,1
Liechtenstein,rome-1960,0,0,0,2
Guyana,rome-1960,0,0,0,2
South Vietnam,rome-1960,0,0,0,2
Somalia,rome-1960,0,0,0,1
Bahamas,rome-1960,0,0,0,2
Suriname,rome-1960,0,0,0,1
Colombia,rome-1960,0,0,0,4
Iraq,rome-1960,0,0,1,4
Uganda,rome-1960,0,0,0,1
Bermuda,rome-1960,0,0,0,1
Singapore,rome-1960,0,1,0,2
Netherlands Antilles,rome-1960,0,0,0,1
Haiti,rome-1960,0,0,0,1
Soviet Union,squaw-valley-1960,7,5,9,8
Sweden,squaw-valley-1960,3,2,2,7
Finland,squaw-valley-1960,2,3,3,6
Bulgaria,squaw-valley-1960,0,0,0,2
Germany,squaw-valley-1960,4,3,1,8
Poland,squaw-valley-1960,0,1,1,4
Hungary,squaw-valley-1960,0,0,0,3
Norway,squaw-valley-1960,3,3,0,6
Italy,squaw-valley-1960,0,0,1,6
France,squaw-valley-1960,1,0,2,6
Switzerland,squaw-valley-1960,2,0,0,4
Japan,squaw-valley-1960,0,0,0,7
United States of America,squaw-valley-1960,3,4,3,8
Canada,squaw-valley-1960,2,1,1,7
Czechoslovakia,squaw-valley-1960,0,1,0,4
Great Britain,squaw-valley-1960,0,0,0,5
Australia,squaw-valley-1960,0,0,0,6
Argentina,squaw-valley-1960,0,0,0,2
Republic of Korea,squaw-valley-1960,0,0,0,3
Austria,squaw-valley-1960,1,2,3,5
South Africa,squaw-valley-1960,0,0,0,1
Netherlands,squaw-valley-1960,0,1,1,2
Iceland,squaw-valley-1960,0,0,0,2
Chile,squaw-valley-1960,0,0,0,1
Liechtenstein,squaw-valley-1960,0,0,0,1
Spain,squaw-valley-1960,0,0,0,1
New Zealand,squaw-valley-1960,0,0,0,1
Lebanon,squaw-valley-1960,0,0,0,1
Turkey,squaw-valley-1960,0,0,0,1
Denmark,squaw-valley-1960,0,0,0,1
United States of America,melbourne-1956,32,25,17,20
Soviet Union,melbourne-1956,37,29,32,19
Uruguay,melbourne-1956,0,0,1,4
France,melbourne-1956,4,4,6,17
Bulgaria,melbourne-1956,1,3,1,7
Brazil,melbourne-1956,1,0,0,10
Philippines,melbourne-1956,0,0,0,7
Chile,melbourne-1956,0,2,2,8
Canada,melbourne-1956,2,1,2,15
Japan,melbourne-1956,4,10,5,12
Chinese Taipei,melbourne-1956,0,0,0,5
Australia,melbourne-1956,13,8,14,20
Singapore,melbourne-1956,0,0,0,5
Republic of Korea,melbourne-1956,0,1,1,7
Thailand,melbourne-1956,0,0,0,5
Great Britain,melbourne-1956,5,7,9,18
Sweden,melbourne-1956,5,5,6,15
Austria,melbourne-1956,0,0,2,13
Denmark,melbourne-1956,1,1,1,11
Mexico,melbourne-1956,1,0,1,8
Hungary,melbourne-1956,9,10,7,12
Finland,melbourne-1956,3,1,11,14
Israel,melbourne-1956,0,0,0,1
Germany,melbourne-1956,4,10,6,16
Italy,melbourne-1956,8,6,8,14
Belgium,melbourne-1956,0,2,0,11
Colombia,melbourne-1956,0,0,0,6
Ethiopia,melbourne-1956,0,0,0,2
Pakistan,melbourne-1956,0,1,0,9
South Africa,melbourne-1956,0,0,4,11
Czechoslovakia,melbourne-1956,1,4,1,11
Venezuela,melbourne-1956,0,0,0,4
South Vietnam,melbourne-1956,0,0,0,2
Yugoslavia,melbourne-1956,0,3,0,7
Luxembourg,melbourne-1956,0,0,0,3
Trinidad and Tobago,melbourne-1956,0,0,0,4
Ireland,melbourne-1956,1,1,3,4
Argentina,melbourne-1956,0,1,1,7
Poland,melbourne-1956,1,4,4,9
Myanmar,melbourne-1956,0,0,0,4
Sri Lanka,melbourne-1956,0,0,0,2
New Zealand,melbourne-1956,2,0,0,8
Romania,melbourne-1956,5,3,5,11
Fiji,melbourne-1956,0,0,0,3
Norway,melbourne-1956,1,0,2,5
Greece,melbourne-1956,0,0,1,4
Portugal,melbourne-1956,0,0,0,1
Bermuda,melbourne-1956,0,0,0,1
Bahamas,melbourne-1956,0,0,1,1
Cuba,melbourne-1956,0,0,0,4
Liberia,melbourne-1956,0,0,0,1
India,melbourne-1956,1,0,0,8
Jamaica,melbourne-1956,0,0,0,1
Switzerland,melbourne-1956,0,0,0,1
Iraq,melbourne-1956,0,0,0,1
Iceland,melbourne-1956,0,1,0,1
Malaya,melbourne-1956,0,0,0,4
Puerto Rico,melbourne-1956,0,0,0,2
Nigeria,melbourne-1956,0,0,0,1
North Borneo,melbourne-1956,0,0,0,1
Kenya,melbourne-1956,0,0,0,4
Islamic Republic of Iran,melbourne-1956,2,2,1,3
Uganda,melbourne-1956,0,0,0,1
Afghanistan,melbourne-1956,0,0,0,1
Turkey,melbourne-1956,3,2,2,1
Indonesia,melbourne-1956,0,0,0,3
Guyana,melbourne-1956,0,0,0,1
Peru,melbourne-1956,0,0,0,1
Finland,cortina-d-ampezzo-1956,3,3,1,6
Soviet Union,cortina-d-ampezzo-1956,7,3,6,6
Sweden,cortina-d-ampezzo-1956,2,4,4,8
Norway,cortina-d-ampezzo-1956,2,1,1,6
Poland,cortina-d-ampezzo-1956,0,0,1,6
Czechoslovakia,cortina-d-ampezzo-1956,0,0,0,7
Germany,cortina-d-ampezzo-1956,1,0,1,8
Italy,cortina-d-ampezzo-1956,1,2,0,8
Yugoslavia,cortina-d-ampezzo-1956,0,0,0,3
Romania,cortina-d-ampezzo-1956,0,0,0,4
Canada,cortina-d-ampezzo-1956,0,1,2,7
France,cortina-d-ampezzo-1956,0,0,0,6
Switzerland,cortina-d-ampezzo-1956,3,2,1,7
Austria,cortina-d-ampezzo-1956,4,3,4,8
United States of America,cortina-d-ampezzo-1956,2,3,2,8
Japan,cortina-d-ampezzo-1956,0,1,0,5
Bulgaria,cortina-d-ampezzo-1956,0,0,0,2
Iceland,cortina-d-ampezzo-1956,0,0,0,2
Great Britain,cortina-d-ampezzo-1956,0,0,0,5
Lebanon,cortina-d-ampezzo-1956,0,0,0,2
Netherlands,cortina-d-ampezzo-1956,0,0,0,2
Australia,cortina-d-ampezzo-1956,0,0,0,3
Spain,cortina-d-ampezzo-1956,0,0,0,3
Hungary,cortina-d-ampezzo-1956,0,0,1,1
Belgium,cortina-d-ampezzo-1956,0,0,0,3
Liechtenstein,cortina-d-ampezzo-1956,0,0,0,2
Turkey,cortina-d-ampezzo-1956,0,0,0,1
Islamic Republic of Iran,cortina-d-ampezzo-1956,0,0,0,1
Chile,cortina-d-ampezzo-1956,0,0,0,1
Greece,cortina-d-ampezzo-1956,0,0,0,1
Bolivia,cortina-d-ampezzo-1956,0,0,0,1
Republic of Korea,cortina-d-ampezzo-1956,0,0,0,1
Australia,helsinki-1952,6,2,3,12
Italy,helsinki-1952,8,9,4,20
South Africa,helsinki-1952,2,4,4,14
Argentina,helsinki-1952,1,2,2,16
Great Britain,helsinki-1952,1,2,8,19
Denmark,helsinki-1952,2,1,3,17
Romania,helsinki-1952,1,1,2,13
Netherlands,helsinki-1952,0,5,0,13
France,helsinki-1952,5,6,6,21
Belgium,helsinki-1952,2,2,0,16
New Zealand,helsinki-1952,1,0,2,5
Soviet Union,helsinki-1952,22,30,19,20
Czechoslovakia,helsinki-1952,7,3,2,12
Finland,helsinki-1952,4,3,13,19
Switzerland,helsinki-1952,2,6,6,18
Venezuela,helsinki-1952,0,0,1,7
Chile,helsinki-1952,0,2,0,11
Hungary,helsinki-1952,16,9,15,15
Uruguay,helsinki-1952,0,0,2,8
Jamaica,helsinki-1952,2,3,0,2
Austria,helsinki-1952,0,1,1,15
Canada,helsinki-1952,1,1,0,10
United States of America,helsinki-1952,39,19,17,21
Guatemala,helsinki-1952,0,0,0,5
Pakistan,helsinki-1952,0,0,0,7
Japan,helsinki-1952,1,6,2,12
India,helsinki-1952,1,0,1,12
Germany,helsinki-1952,0,7,15,20
Brazil,helsinki-1952,1,0,2,13
Norway,helsinki-1952,3,2,0,13
Sweden,helsinki-1952,12,11,10,18
Poland,helsinki-1952,1,2,1,11
Portugal,helsinki-1952,0,0,1,9
Greece,helsinki-1952,0,0,0,6
Spain,helsinki-1952,0,1,0,8
Puerto Rico,helsinki-1952,0,0,0,4
Thailand,helsinki-1952,0,0,0,1
Ireland,helsinki-1952,0,1,0,5
Panama,helsinki-1952,0,0,0,2
Ghana,helsinki-1952,0,0,0,1
Bulgaria,helsinki-1952,0,0,1,8
Israel,helsinki-1952,0,0,0,4
Yugoslavia,helsinki-1952,1,2,0,10
Iceland,helsinki-1952,0,0,0,1
Egypt,helsinki-1952,0,0,1,13
Luxembourg,helsinki-1952,1,0,0,7
Republic of Korea,helsinki-1952,0,0,2,6
Turkey,helsinki-1952,2,0,1,4
Bermuda,helsinki-1952,0,0,0,2
Cuba,helsinki-1952,0,0,0,6
South Vietnam,helsinki-1952,0,0,0,3
Nigeria,helsinki-1952,0,0,0,1
Indonesia,helsinki-1952,0,0,0,2
Islamic Republic of Iran,helsinki-1952,0,3,4,3
Lebanon,helsinki-1952,0,1,1,4
Philippines,helsinki-1952,0,0,0,6
Mexico,helsinki-1952,0,1,0,13
Saar,helsinki-1952,0,0,0,8
Singapore,helsinki-1952,0,0,0,1
Trinidad and Tobago,helsinki-1952,0,0,2,1
Guyana,helsinki-1952,0,0,0,1
Myanmar,helsinki-1952,0,0,0,2
Liechtenstein,helsinki-1952,0,0,0,1
Bahamas,helsinki-1952,0,0,0,1
Monaco,helsinki-1952,0,0,0,2
Sri Lanka,helsinki-1952,0,0,0,2
Netherlands Antilles,helsinki-1952,0,0,0,1
People's Republic of China,helsinki-1952,0,0,0,1
Norway,oslo-1952,7,3,6,8
Sweden,oslo-1952,0,0,4,8
Germany,oslo-1952,3,2,2,8
Finland,oslo-1952,3,4,2,7
United States of America,oslo-1952,4,6,1,8
Austria,oslo-1952,2,4,2,7
Yugoslavia,oslo-1952,0,0,0,3
Switzerland,oslo-1952,0,0,2,7
Poland,oslo-1952,0,0,0,4
Canada,oslo-1952,1,0,1,6
Japan,oslo-1952,0,0,0,5
Iceland,oslo-1952,0,0,0,3
France,oslo-1952,0,0,1,5
Argentina,oslo-1952,0,0,0,2
Italy,oslo-1952,1,0,1,6
Belgium,oslo-1952,0,0,0,3
Netherlands,oslo-1952,0,3,0,3
Great Britain,oslo-1952,1,0,0,3
Hungary,oslo-1952,0,0,1,4
Australia,oslo-1952,0,0,0,4
Czechoslovakia,oslo-1952,0,0,0,3
Romania,oslo-1952,0,0,0,3
New Zealand,oslo-1952,0,0,0,1
Bulgaria,oslo-1952,0,0,0,2
Lebanon,oslo-1952,0,0,0,1
Greece,oslo-1952,0,0,0,1
Spain,oslo-1952,0,0,0,1
Chile,oslo-1952,0,0,0,1
Portugal,oslo-1952,0,0,0,1
Denmark,oslo-1952,0,0,0,1
Norway,london-1948,1,3,3,10
Sweden,london-1948,16,11,17,19
Denmark,london-1948,5,7,8,19
Great Britain,london-1948,3,14,6,22
Italy,london-1948,8,11,8,17
Finland,london-1948,8,7,5,15
Argentina,london-1948,3,3,1,18
Netherlands,london-1948,5,2,9,19
Portugal,london-1948,0,1,1,6
France,london-1948,10,6,13,22
United States of America,london-1948,38,27,19,23
Belgium,london-1948,2,2,3,17
Canada,london-1948,0,1,2,12
Uruguay,london-1948,0,1,1,9
Switzerland,london-1948,5,10,5,19
Brazil,london-1948,0,0,1,11
Ireland,london-1948,0,0,0,8
Australia,london-1948,2,6,5,12
Spain,london-1948,0,1,0,10
South Africa,london-1948,2,1,1,8
Austria,london-1948,1,0,3,18
Cuba,london-1948,0,1,0,8
Greece,london-1948,0,0,0,6
Chile,london-1948,0,0,0,9
Venezuela,london-1948,0,0,0,1
Trinidad and Tobago,london-1948,0,1,0,3
Mexico,london-1948,2,1,2,16
India,london-1948,1,0,0,10
Pakistan,london-1948,0,0,0,6
Guyana,london-1948,0,0,0,4
Peru,london-1948,1,0,0,6
Philippines,london-1948,0,0,0,6
Puerto Rico,london-1948,0,0,1,3
Monaco,london-1948,0,0,0,1
Islamic Republic of Iran,london-1948,0,0,1,5
Lebanon,london-1948,0,0,0,3
Hungary,london-1948,10,5,12,15
Syrian Arab Republic,london-1948,0,0,0,1
Egypt,london-1948,2,2,1,11
Bermuda,london-1948,0,0,0,2
Yugoslavia,london-1948,0,2,0,6
Republic of Korea,london-1948,0,0,2,7
Turkey,london-1948,6,4,2,6
People's Republic of China,london-1948,0,0,0,3
Luxembourg,london-1948,0,0,0,8
Afghanistan,london-1948,0,0,0,2
Czechoslovakia,london-1948,6,2,3,9
Poland,london-1948,0,0,1,4
Sri Lanka,london-1948,0,1,0,2
Myanmar,london-1948,0,0,0,2
Jamaica,london-1948,1,2,0,3
New Zealand,london-1948,0,0,0,4
Colombia,london-1948,0,0,0,1
Iraq,london-1948,0,0,0,1
Panama,london-1948,0,0,2,1
Iceland,london-1948,0,0,0,1
Liechtenstein,london-1948,0,0,0,1
Singapore,london-1948,0,0,0,1
Finland,st-moritz-1948,1,3,2,5
Sweden,st-moritz-1948,4,3,3,6
Switzerland,st-moritz-1948,3,4,3,9
Norway,st-moritz-1948,4,3,3,7
Italy,st-moritz-1948,1,0,0,9
Austria,st-moritz-1948,1,3,4,8
France,st-moritz-1948,2,1,2,7
Poland,st-moritz-1948,0,0,0,5
Yugoslavia,st-moritz-1948,0,0,0,4
United States of America,st-moritz-1948,3,4,2,9
Czechoslovakia,st-moritz-1948,0,1,0,8
Canada,st-moritz-1948,2,0,1,7
Bulgaria,st-moritz-1948,0,0,0,3
Great Britain,st-moritz-1948,0,0,2,6
Hungary,st-moritz-1948,0,1,0,5
Chile,st-moritz-1948,0,0,0,1
Belgium,st-moritz-1948,1,1,0,4
Romania,st-moritz-1948,0,0,0,1
Liechtenstein,st-moritz-1948,0,0,0,2
Iceland,st-moritz-1948,0,0,0,2
Spain,st-moritz-1948,0,0,0,1
Argentina,st-moritz-1948,0,0,0,2
Turkey,st-moritz-1948,0,0,0,1
Greece,st-moritz-1948,0,0,0,1
Lebanon,st-moritz-1948,0,0,0,1
Denmark,st-moritz-1948,0,0,0,2
Republic of Korea,st-moritz-1948,0,0,0,1
Netherlands,st-moritz-1948,0,0,0,1
Germany,berlin-1936,31,24,29,24
Austria,berlin-1936,3,4,2,20
Switzerland,berlin-1936,1,9,5,20
Hungary,berlin-1936,10,1,5,21
Romania,berlin-1936,0,1,0,8
United States of America,berlin-1936,24,20,11,23
Denmark,berlin-1936,0,2,3,15
Great Britain,berlin-1936,4,7,2,18
Bulgaria,berlin-1936,0,0,0,6
Sweden,berlin-1936,5,5,8,18
Japan,berlin-1936,6,4,8,13
Netherlands,berlin-1936,5,4,6,17
Poland,berlin-1936,0,3,3,14
Czechoslovakia,berlin-1936,2,5,0,16
France,berlin-1936,7,5,6,21
Italy,berlin-1936,8,9,5,17
Finland,berlin-1936,7,6,6,14
Norway,berlin-1936,1,3,2,12
Turkey,berlin-1936,1,0,1,7
Canada,berlin-1936,1,2,5,10
Chile,berlin-1936,0,0,0,6
New Zealand,berlin-1936,1,0,0,4
Egypt,berlin-1936,2,1,2,9
Spain,berlin-1936,0,0,0,2
Greece,berlin-1936,0,0,0,7
India,berlin-1936,1,0,0,4
Peru,berlin-1936,0,0,0,9
Yugoslavia,berlin-1936,0,1,0,9
Estonia,berlin-1936,2,2,3,6
People's Republic of China,berlin-1936,0,0,0,6
Iceland,berlin-1936,0,0,0,2
Belgium,berlin-1936,0,0,2,14
Latvia,berlin-1936,0,1,1,5
Argentina,berlin-1936,2,2,3,8
Colombia,berlin-1936,0,0,0,1
South Africa,berlin-1936,0,1,0,5
Australia,berlin-1936,0,0,1,8
Portugal,berlin-1936,0,0,1,5
Philippines,berlin-1936,0,0,1,6
Mexico,berlin-1936,0,0,3,7
Brazil,berlin-1936,0,0,0,7
Luxembourg,berlin-1936,0,0,0,7
Uruguay,berlin-1936,0,0,0,4
Malta,berlin-1936,0,0,0,2
Monaco,berlin-1936,0,0,0,1
Liechtenstein,berlin-1936,0,0,0,2
Afghanistan,berlin-1936,0,0,0,1
Bermuda,berlin-1936,0,0,0,1
Norway,garmisch-partenkirchen-1936,7,5,3,6
Great Britain,garmisch-partenkirchen-1936,1,1,1,6
Sweden,garmisch-partenkirchen-1936,2,2,3,7
Belgium,garmisch-partenkirchen-1936,0,0,0,5
United States of America,garmisch-partenkirchen-1936,1,0,3,8
Austria,garmisch-partenkirchen-1936,1,1,2,8
Germany,garmisch-partenkirchen-1936,3,3,0,8
Japan,garmisch-partenkirchen-1936,0,0,0,7
Switzerland,garmisch-partenkirchen-1936,1,2,0,7
Hungary,garmisch-partenkirchen-1936,0,0,1,6
Czechoslovakia,garmisch-partenkirchen-1936,0,0,0,8
Latvia,garmisch-partenkirchen-1936,0,0,0,6
Canada,garmisch-partenkirchen-1936,0,1,0,7
Romania,garmisch-partenkirchen-1936,0,0,0,6
Finland,garmisch-partenkirchen-1936,1,2,3,5
Yugoslavia,garmisch-partenkirchen-1936,0,0,0,5
Italy,garmisch-partenkirchen-1936,0,0,0,7
Estonia,garmisch-partenkirchen-1936,0,0,0,4
Netherlands,garmisch-partenkirchen-1936,0,0,0,3
Australia,garmisch-partenkirchen-1936,0,0,0,1
Poland,garmisch-partenkirchen-1936,0,0,0,6
France,garmisch-partenkirchen-1936,0,0,1,4
Liechtenstein,garmisch-partenkirchen-1936,0,0,0,2
Luxembourg,garmisch-partenkirchen-1936,0,0,0,2
Bulgaria,garmisch-partenkirchen-1936,0,0,0,3
Spain,garmisch-partenkirchen-1936,0,0,0,2
Turkey,garmisch-partenkirchen-1936,0,0,0,2
Greece,garmisch-partenkirchen-1936,0,0,0,2
Hungary,los-angeles-1932,6,4,5,10
Germany,los-angeles-1932,3,12,5,13
United States of America,los-angeles-1932,41,32,30,19
Japan,los-angeles-1932,7,7,4,10
Brazil,los-angeles-1932,0,0,0,5
Argentina,los-angeles-1932,3,1,0,6
South Africa,los-angeles-1932,2,0,3,4
France,los-angeles-1932,10,5,4,13
Mexico,los-angeles-1932,0,2,0,13
Italy,los-angeles-1932,12,12,12,12
Canada,los-angeles-1932,2,5,8,10
New Zealand,los-angeles-1932,0,1,0,4
Finland,los-angeles-1932,5,8,12,4
Great Britain,los-angeles-1932,4,7,5,10
Philippines,los-angeles-1932,0,0,3,3
Denmark,los-angeles-1932,0,3,3,9
Ireland,los-angeles-1932,2,0,0,2
Sweden,los-angeles-1932,9,5,9,12
Greece,los-angeles-1932,0,0,0,3
Austria,los-angeles-1932,1,1,3,6
Czechoslovakia,los-angeles-1932,1,2,1,3
Haiti,los-angeles-1932,0,0,0,1
Cuba,los-angeles-1932,0,0,0,1
Australia,los-angeles-1932,3,1,1,5
Poland,los-angeles-1932,2,1,4,3
Latvia,los-angeles-1932,0,1,0,1
Estonia,los-angeles-1932,0,0,0,2
Switzerland,los-angeles-1932,0,1,0,3
Netherlands,los-angeles-1932,2,5,0,8
Norway,los-angeles-1932,0,0,0,2
Colombia,los-angeles-1932,0,0,0,1
India,los-angeles-1932,1,0,0,2
Portugal,los-angeles-1932,0,0,0,3
Yugoslavia,los-angeles-1932,0,0,0,1
Uruguay,los-angeles-1932,0,0,1,1
Belgium,los-angeles-1932,0,0,0,1
Spain,los-angeles-1932,0,0,1,2
United States of America,lake-placid-1932,6,4,2,7
Norway,lake-placid-1932,3,4,3,5
Canada,lake-placid-1932,1,1,5,6
Finland,lake-placid-1932,1,1,1,3
Sweden,lake-placid-1932,1,2,0,5
Czechoslovakia,lake-placid-1932,0,0,0,4
Italy,lake-placid-1932,0,0,0,4
Japan,lake-placid-1932,0,0,0,4
Poland,lake-placid-1932,0,0,0,4
France,lake-placid-1932,1,0,0,4
Austria,lake-placid-1932,1,1,0,5
Switzerland,lake-placid-1932,0,1,0,3
Romania,lake-placid-1932,0,0,0,1
Germany,lake-placid-1932,0,0,2,3
Belgium,lake-placid-1932,0,0,0,2
Hungary,lake-placid-1932,0,0,1,1
Great Britain,lake-placid-1932,0,0,0,1
MIX,lake-placid-1932,0,0,0,1
Great Britain,amsterdam-1928,3,10,7,14
Sweden,amsterdam-1928,6,6,12,13
Germany,amsterdam-1928,9,7,14,18
Canada,amsterdam-1928,4,4,7,8
United States of America,amsterdam-1928,22,18,16,15
France,amsterdam-1928,6,10,5,18
Portugal,amsterdam-1928,0,0,1,8
Hungary,amsterdam-1928,4,5,0,11
Finland,amsterdam-1928,8,8,8,8
South Africa,amsterdam-1928,1,0,2,5
Greece,amsterdam-1928,0,0,0,3
Luxembourg,amsterdam-1928,0,0,0,8
Yugoslavia,amsterdam-1928,1,1,3,5
Japan,amsterdam-1928,2,2,1,9
Monaco,amsterdam-1928,0,0,0,1
Latvia,amsterdam-1928,0,0,0,4
Poland,amsterdam-1928,1,1,3,12
Chile,amsterdam-1928,0,1,0,5
Czechoslovakia,amsterdam-1928,2,5,2,12
Belgium,amsterdam-1928,0,1,2,17
Netherlands,amsterdam-1928,6,9,4,19
Mexico,amsterdam-1928,0,0,0,3
Italy,amsterdam-1928,7,5,7,15
Norway,amsterdam-1928,1,1,1,8
Denmark,amsterdam-1928,3,1,2,12
Spain,amsterdam-1928,1,0,0,10
Romania,amsterdam-1928,0,0,0,1
Estonia,amsterdam-1928,2,1,2,6
Switzerland,amsterdam-1928,7,4,4,13
India,amsterdam-1928,1,0,0,3
Philippines,amsterdam-1928,0,0,1,2
Australia,amsterdam-1928,1,2,1,5
Argentina,amsterdam-1928,3,3,1,13
Haiti,amsterdam-1928,0,1,0,1
Ireland,amsterdam-1928,1,0,0,6
Turkey,amsterdam-1928,0,0,0,6
New Zealand,amsterdam-1928,1,0,0,3
Austria,amsterdam-1928,2,0,1,10
Cuba,amsterdam-1928,0,0,0,1
Lithuania,amsterdam-1928,0,0,0,4
Uruguay,amsterdam-1928,1,0,0,1
Egypt,amsterdam-1928,2,1,1,5
Bulgaria,amsterdam-1928,0,0,0,2
Zimbabwe,amsterdam-1928,0,0,0,1
Malta,amsterdam-1928,0,0,0,1
Norway,st-moritz-1928,6,4,5,5
Czechoslovakia,st-moritz-1928,0,0,1,6
Sweden,st-moritz-1928,2,2,1,6
United States of America,st-moritz-1928,2,2,2,7
Switzerland,st-moritz-1928,0,0,1,7
Germany,st-moritz-1928,0,0,1,8
Finland,st-moritz-1928,2,1,1,5
Italy,st-moritz-1928,0,0,0,5
Canada,st-moritz-1928,1,0,0,6
Poland,st-moritz-1928,0,0,0,5
France,st-moritz-1928,1,0,0,8
Austria,st-moritz-1928,0,3,1,8
Japan,st-moritz-1928,0,0,0,3
Argentina,st-moritz-1928,0,0,0,1
Belgium,st-moritz-1928,0,0,1,4
Romania,st-moritz-1928,0,0,0,1
Great Britain,st-moritz-1928,0,0,1,5
Mexico,st-moritz-1928,0,0,0,1
Netherlands,st-moritz-1928,0,0,0,2
Luxembourg,st-moritz-1928,0,0,0,1
Yugoslavia,st-moritz-1928,0,0,0,1
Hungary,st-moritz-1928,0,0,0,4
Lithuania,st-moritz-1928,0,0,0,1
Latvia,st-moritz-1928,0,0,0,1
Estonia,st-moritz-1928,0,0,0,1
France,paris-1924,13,15,10,22
Belgium,paris-1924,3,7,3,17
Hungary,paris-1924,2,3,4,12
Italy,paris-1924,8,3,5,18
Sweden,paris-1924,4,13,12,17
Denmark,paris-1924,2,5,2,13
Netherlands,paris-1924,4,1,5,18
Czechoslovakia,paris-1924,1,4,5,18
Argentina,paris-1924,1,3,2,11
Great Britain,paris-1924,9,13,12,19
Portugal,paris-1924,0,0,1,8
United States of America,paris-1924,45,27,27,18
Canada,paris-1924,0,3,1,7
Finland,paris-1924,14,13,10,11
Austria,paris-1924,0,3,1,7
Norway,paris-1924,5,2,3,8
Haiti,paris-1924,0,0,1,2
Switzerland,paris-1924,7,8,10,16
South Africa,paris-1924,1,1,1,6
Greece,paris-1924,0,0,0,7
Romania,paris-1924,0,0,1,4
Poland,paris-1924,0,1,1,10
Monaco,paris-1924,0,0,0,2
Brazil,paris-1924,0,0,0,3
Mexico,paris-1924,0,0,0,3
Egypt,paris-1924,0,0,0,7
Spain,paris-1924,0,0,0,10
Ireland,paris-1924,0,0,0,5
India,paris-1924,0,0,0,2
Chile,paris-1924,0,0,0,4
Japan,paris-1924,0,0,1,4
Australia,paris-1924,3,1,2,8
Luxembourg,paris-1924,0,0,0,10
Yugoslavia,paris-1924,2,0,0,8
Estonia,paris-1924,1,1,4,5
Latvia,paris-1924,0,0,0,6
Ecuador,paris-1924,0,0,0,1
Bulgaria,paris-1924,0,0,0,6
Turkey,paris-1924,0,0,0,4
New Zealand,paris-1924,0,0,1,3
Philippines,paris-1924,0,0,0,1
Uruguay,paris-1924,1,0,0,2
Lithuania,paris-1924,0,0,0,2
Cuba,paris-1924,0,0,0,1
Norway,chamonix-1924,4,7,6,5
Sweden,chamonix-1924,1,1,0,7
Czechoslovakia,chamonix-1924,0,0,0,6
Finland,chamonix-1924,4,4,3,6
France,chamonix-1924,0,0,3,9
United States of America,chamonix-1924,1,2,1,6
Switzerland,chamonix-1924,2,0,1,9
Poland,chamonix-1924,0,0,0,6
Hungary,chamonix-1924,0,0,0,5
Great Britain,chamonix-1924,1,1,2,8
Italy,chamonix-1924,0,0,0,6
Yugoslavia,chamonix-1924,0,0,0,2
Latvia,chamonix-1924,0,0,0,2
Belgium,chamonix-1924,0,0,1,4
Canada,chamonix-1924,1,0,0,3
Estonia,chamonix-1924,0,0,0,1
Austria,chamonix-1924,2,1,0,1
United States of America,antwerp-1920,41,27,27,21
France,antwerp-1920,9,19,13,25
Norway,antwerp-1920,13,9,9,15
Great Britain,antwerp-1920,14,15,13,21
Denmark,antwerp-1920,3,9,1,13
South Africa,antwerp-1920,3,4,3,7
Canada,antwerp-1920,3,3,3,8
Belgium,antwerp-1920,14,11,11,25
Netherlands,antwerp-1920,4,2,5,13
Italy,antwerp-1920,13,5,5,17
Argentina,antwerp-1920,0,0,0,1
Switzerland,antwerp-1920,2,2,7,13
Sweden,antwerp-1920,19,20,25,20
Czechoslovakia,antwerp-1920,0,0,2,10
Spain,antwerp-1920,0,2,0,7
Australia,antwerp-1920,0,2,1,4
Japan,antwerp-1920,0,2,0,3
Finland,antwerp-1920,15,10,9,9
